Version,Tick,Date,Time,Latitude,Longitude,Ground Speed,Track,Magnetic Variation,GPS Altitude,Desired Track,Cross Track Error,Roll,Pitch,Magnetic Heading,Magnetic Field Heading,Pressure Altitude,Indicated Altitude,Vertical Speed,Density Altitude,Indicated Airspeed,True Airspeed,Normal Acceleration,OAT,Wind Speed,Wind Direction,RPM1/N1,RPM2/N2,CHT1,CHT2,CHT3,CHT4,CHT5,CHT6,EGT1,EGT2,EGT3,EGT4,EGT5,EGT6,Fuel Flow,Fuel Total,Carb Temp,Oil Temp,Oil Pressure,Coolant Temp,Hourmeter,EIS Volts,Aux1,Aux2,Aux3,Aux4,Aux5,Aux6,Internal MAP,R-N1,R-N2,Analog1,Analog2,Analog3,Analog4,Analog5,Analog6,Analog7,Analog8,Volts1,Volts2,Volts3
2,21522,8/1/2021,20:01:31,,,,,,,,,,,,178.3,188,360,7356,-8044,,,0.982,-50,,,1112,0,100,99,100,99,101,97,787,759,752,750,774,760,1.5,8.8,83,90,37,59,57.2,12.3,0.8,11.3,0,0,0,0,,,,0,0,0,0,0,0,0,0,12.36,3.38,
2,22522,,,,,,,,,,,,,,168.9,368,540,5888,-7809,,,0.992,-50,,,1112,0,101,100,101,100,103,98,794,766,758,757,781,768,1.4,8.8,83,90,37,59,57.2,12.3,0.9,11.2,0,0,0,0,,,,0,0,0,0,0,0,0,0,12.36,3.45,
2,23523,,,,,,,,,,,,,,174.8,459,631,4121,-7690,,,0.982,-50,,,1126,0,102,102,103,101,104,99,799,773,766,765,787,774,1,8.8,83,90,37,59,57.2,12.3,0.9,11.2,0,0,0,0,,,,0,0,0,0,0,0,0,0,12.32,3.49,
2,24522,,,,,,,,,,,,,,179.2,502,674,2833,-7634,,,0.955,-50,,,1126,0,103,103,103,102,105,101,806,777,771,772,793,781,0.8,8.8,83,90,37,59,57.2,12.3,0.8,11.2,0,0,0,0,,,,0,0,0,0,0,0,0,0,12.36,3.53,
2,25523,,,,,,,,,,,,,,179.7,521,693,1938,-7610,,,0.962,-50,,,1126,0,104,104,105,103,106,102,813,783,776,778,800,786,0.7,8.8,83,90,37,59,57.2,12.3,0.8,11.2,0,0,0,0,,,,0,0,0,0,0,0,0,0,12.32,3.56,
2,26522,8/28/2021,19:05:31,42.240017,-83.510544,0,0,0,782,47.3,0,,,,181.9,529,701,1343,-7599,,,0.966,-50,,,1126,0,105,105,105,105,107,103,817,790,781,783,804,792,0.6,8.8,83,90,46,59,57.2,12.3,0.9,11.3,0,0,0,0,,,,0,0,0,0,0,0,0,0,12.39,3.58,
2,27522,8/28/2021,19:05:32,42.240028,-83.510536,0,0,0,775,47.3,0,,,,179.1,530,702,951,-7598,,,0.965,-50,,,1134,0,106,106,106,105,107,104,819,798,787,790,811,797,0.4,8.8,82,90,48,59,57.2,12.3,0.9,11.2,0,0,0,0,,,,0,0,0,0,0,0,0,0,12.34,3.6,
2,28522,8/28/2021,19:05:33,42.240028,-83.510536,0,0,0,775,47.3,0,,,,177.4,530,702,651,-7598,,,0.973,-50,,,1136,0,106,107,107,106,109,105,823,802,793,794,814,801,0.4,8.8,82,90,42,59,57.2,12.3,0.8,11.1,0,0,0,0,,,,0,0,0,0,0,0,0,0,12.34,3.64,
2,29522,8/28/2021,19:05:34,42.240028,-83.510536,0,0,0,774,47.3,0,,,,178.5,530,702,445,-7598,,,0.974,-50,,,1136,0,107,108,108,107,110,106,826,807,799,798,819,806,0.3,8.8,82,90,48,59,57.2,12.2,0.8,11.2,0,0,0,0,,,,0,0,0,0.01,0,0,0,0,12.34,3.64,
2,30522,8/28/2021,19:05:35,42.240028,-83.510536,0,0,0,774,47.3,0,,,,179.3,530,702,304,-7598,,,0.957,-50,,,1136,0,108,109,109,109,110,107,830,810,802,803,823,810,0.4,8.8,82,90,48,59,57.2,12.3,0.9,11.2,0,0,0,0,,,,0,0,0,0,0,0,0,0,12.41,3.71,
